,Project,project name,source,gis,latitude,longitude,Lat Long Values,new price,old price,type,pincode,address,size,BHK,city,RERA Approved
2311624,"Saket pranaam, Sainikpuri",Saket pranaam,"3rd party, Property Science",,17.500308,78.573436,,4646,,Stand Alone / Apartment,500062,Sainikpuri,702,,,no
2311624,"Saket pranaam, Sainikpuri",Saket pranaam,"3rd party, Property Science",,17.500308,78.573436,,4646,,Stand Alone / Apartment,500062,Sainikpuri,672.75,,,no
2662846,"Triveni Complex, Abids",Triveni Complex,"3rd party, Property Science",,17.39151941,78.47792182,,6923,,Gated community / Apartment,500001,Abids,1266,,,no
2327115,"Tulips, Somajiguda",Tulips,"3rd party, Property Science",,17.42364136,78.45842319,,5524,,Stand Alone / Apartment,500082,Somajiguda,2223,,,no
2398578,"Tulips, Somajiguda",Tulips,"3rd party, Property Science",,17.42364136,78.45842319,,5524,,Stand Alone / Apartment,500082,Somajiguda,3289,,,no
2401826,"Tulips, Somajiguda",Tulips,"3rd party, Property Science",,17.42364136,78.45842319,,5524,,Stand Alone / Apartment,500082,Somajiguda,3900,,,no
2637186,"Tulips, Somajiguda",Tulips,"3rd party, Property Science",,17.42364136,78.45842319,,5524,,Stand Alone / Apartment,500082,,6825,,,no
2453482,"Uday crest, shilpa park",Uday crest,"3rd party, Property Science",,17.4407,78.3986,,8924,,Gated community / Apartment,500081,shilpa park,911.95,,,no
2235805,"Udaya Skyvert , Uppal, Hyderabad",Udaya Skyvert ,"3rd party, Property Science",,17.41257196,78.56499995,,9243,,Gated community / Apartment,500039,"Uppal, Hyderabad",1664,,,yes
2235805,"Udaya Skyvert , Uppal, Hyderabad",Udaya Skyvert ,"3rd party, Property Science",,17.41257196,78.56499995,,9243,,Gated community / Apartment,500039,"Uppal, Hyderabad",1623.7,,,yes
2228028,"VKC apartment, Bhagyanagar",VKC apartment,"3rd party, Property Science",,17.49559056,78.40218261,,3157,,Stand Alone / Apartment,500072,,,4,Hyderabad,no
2235808,"Udaya Skyvert , Uppal, Hyderabad",Udaya Skyvert ,"3rd party, Property Science",,17.41257196,78.56499995,,9243,,Gated community / Apartment,500039,"Uppal, Hyderabad",1657.5,,,yes
2228140,"Jubilee Lakshmi Nivas, Saroor Nagar, Hyderabad",Jubilee Lakshmi Nivas,"3rd party, Property Science",,17.34727656,78.53944133,,6535,,Unknown,,"Saroor Nagar, Hyderabad",937.95,,,no
2228140,"Jubilee Lakshmi Nivas, Saroor Nagar, Hyderabad",Jubilee Lakshmi Nivas,"3rd party, Property Science",,17.34941,78.54956,,10000,,Unknown,,"Saroor Nagar, Hyderabad",1223.3,,,no
2336564,"Saket pranaam, Sainikpuri",Saket pranaam,"3rd party, Property Science",,17.500308,78.573436,,4646,,Stand Alone / Apartment,500062,Sainikpuri,627.25,,,no
2336565,"Saket pranaam, Sainikpuri",Saket pranaam,"3rd party, Property Science",,17.500308,78.573436,,4646,,Stand Alone / Apartment,500062,Sainikpuri,570,,,no
2235808,"Udaya Skyvert , Uppal, Hyderabad",Udaya Skyvert ,"3rd party, Property Science",,17.41257196,78.56499995,,9243,,Gated community / Apartment,500039,"Uppal, Hyderabad",1630,,,yes
2309962,"Uma Nilayam, New Sai Nagar Colony",Uma Nilayam,"3rd party, Property Science",,17.3548,78.5125,,11705,,Stand Alone / Apartment,500059,New Sai Nagar Colony,1614,,,no
2311625,"Saket Sriyam, Jai Jawan Colony",Saket Sriyam,"3rd party, Property Science",,17.48813906,78.57046366,,4962,,Gated community / Apartment,500062,Jai Jawan Colony,935,,,no
2311625,"Saket Sriyam, Jai Jawan Colony",Saket Sriyam,"3rd party, Property Science",,17.48813906,78.57046366,,4962,,Gated community / Apartment,500062,Jai Jawan Colony,980,,,no
2362149,"Urban Habitat, Bandlaguda, Hyderabad",Urban Habitat,"3rd party, Property Science",,17.37186099,78.57854576,,8571,,Gated community / Apartment,500068,"Bandlaguda, Hyderabad",637,,,yes
2362150,"Urban Habitat, Bandlaguda, Hyderabad",Urban Habitat,"3rd party, Property Science",,17.37186099,78.57854576,,8571,,Gated community / Apartment,500068,,592.8,,,yes
2228145,"Green Leaves Aura, Saroor Nagar, Hyderabad",Green Leaves Aura,"3rd party, Property Science",,17.34506035,78.55719757,,11077,,Gated community / Apartment,500074,"Saroor Nagar, Hyderabad",1154,,,no
2228145,"Green Leaves Aura, Saroor Nagar, Hyderabad",Green Leaves Aura,"3rd party, Property Science",,17.34506035,78.55719757,,11077,,Gated community / Apartment,500074,"Saroor Nagar, Hyderabad",1670,,,no
2362153,"Urban Habitat, Bandlaguda, Hyderabad",Urban Habitat,"3rd party, Property Science",,17.37186099,78.57854576,,8571,,Gated community / Apartment,500068,"Bandlaguda, Hyderabad",585,,,yes
2362154,"Urban Habitat, Bandlaguda, Hyderabad",Urban Habitat,"3rd party, Property Science",,17.37186099,78.57854576,,8571,,Gated community / Apartment,500068,"Bandlaguda, Hyderabad",747.5,,,yes
2228147,"Green Leaves Aura, Saroor Nagar, Hyderabad",Green Leaves Aura,"3rd party, Property Science",,17.34506035,78.55719757,,11077,,Gated community / Apartment,500074,"Saroor Nagar, Hyderabad",1154,,,no
2228147,"Green Leaves Aura, Saroor Nagar, Hyderabad",Green Leaves Aura,"3rd party, Property Science",,17.34506035,78.55719757,,11077,,Gated community / Apartment,500074,"Saroor Nagar, Hyderabad",2197,,,no
2362156,"Urban Habitat, Bandlaguda, Hyderabad",Urban Habitat,"3rd party, Property Science",,17.371877,78.578784,,5055,,Gated community / Apartment,500068,"Bandlaguda, Hyderabad",734.5,,,yes
2362158,"Urban Habitat, Bandlaguda, Hyderabad",Urban Habitat,"3rd party, Property Science",,17.37186099,78.57854576,,8571,,Gated community / Apartment,500068,"Bandlaguda, Hyderabad",687.05,,,yes
2285807,"Rajapushpa Provincia, Kokapet, Hyderabad",Rajapushpa Provincia,"3rd party, Property Science",,17.3956852,78.35501099,,12819,,Gated community,500075,"Kokapet, Hyderabad",2213,,,yes
2285809,"Rajapushpa Provincia, Kokapet, Hyderabad",Rajapushpa Provincia,"3rd party, Property Science",,17.3956852,78.35501099,,16665,,Gated community,500075,"Kokapet, Hyderabad",734.5,,,yes
2311626,"Saket Sriyam, Jai Jawan Colony",Saket Sriyam,"3rd party, Property Science",,17.48813906,78.57046366,,5538,,Gated community / Apartment,500062,Jai Jawan Colony,1481,,,no
2311626,"Saket Sriyam, Jai Jawan Colony",Saket Sriyam,"3rd party, Property Science",,17.48813906,78.57046366,,5538,,Gated community / Apartment,500062,Jai Jawan Colony,1462,,,no
2285809,"Rajapushpa Provincia, Kokapet, Hyderabad",Rajapushpa Provincia,"3rd party, Property Science",,17.3956852,78.35501099,,16665,,Gated community,500075,"Kokapet, Hyderabad",715,,,yes
2210514,"Rajeshwara, Ameerpet",Rajeshwara,"3rd party, Property Science",,17.43778615,78.44759371,,9255,,Unknown,500082,Ameerpet,1566.5,,,no
2228152,"Aavasa Emerald, L.B. Nagar, Hyderabad",Aavasa Emerald,"3rd party, Property Science",,17.34609413,78.55804443,,9714,,Gated community / Apartment,500074,"L.B. Nagar, Hyderabad",871,,,yes
2228152,"Aavasa Emerald, L.B. Nagar, Hyderabad",Aavasa Emerald,"3rd party, Property Science",,17.34609413,78.55804443,,9714,,Gated community / Apartment,500074,"L.B. Nagar, Hyderabad",950,,,yes
2315102,"Urban Lilly, Vivekanand Nagar",Urban Lilly,"3rd party, Property Science",,17.50042745,78.41982171,,10138,,Stand Alone / Apartment,500072,Vivekanand Nagar,7085,,,no
2223336,"Uvera Heights, L.B. Nagar, Hyderabad",Uvera Heights,"3rd party, Property Science",,17.34537506,78.55673981,,9571,,Gated community / Apartment,500070,"L.B. Nagar, Hyderabad",1316.25,,,yes
2228154,"Aavasa Emerald, L.B. Nagar, Hyderabad",Aavasa Emerald,"3rd party, Property Science",,17.34609413,78.55804443,,9714,,Gated community / Apartment,500074,"L.B. Nagar, Hyderabad",520,,,yes
2228154,"Aavasa Emerald, L.B. Nagar, Hyderabad",Aavasa Emerald,"3rd party, Property Science",,17.34609413,78.55804443,,9714,,Gated community / Apartment,500074,"L.B. Nagar, Hyderabad",422.5,,,yes
2228155,"Green Leaves Aura, Saroor Nagar, Hyderabad",Green Leaves Aura,"3rd party, Property Science",,17.34506035,78.55719757,,11077,,Gated community / Apartment,500074,"Saroor Nagar, Hyderabad",1950,,,no
2228155,"Green Leaves Aura, Saroor Nagar, Hyderabad",Green Leaves Aura,"3rd party, Property Science",,17.34506035,78.55719757,,11077,,Gated community / Apartment,500074,"Saroor Nagar, Hyderabad",1651,,,no
2223340,"Uvera Heights, L.B. Nagar, Hyderabad",Uvera Heights,"3rd party, Property Science",,17.34537506,78.55673981,,9571,,Gated community / Apartment,500070,"L.B. Nagar, Hyderabad",1332.5,,,yes
2227976,"Uvera Heights, L.B. Nagar, Hyderabad",Uvera Heights,"3rd party, Property Science",,17.34537506,78.55673981,,9571,,Gated community / Apartment,500070,"L.B. Nagar, Hyderabad",1311.7,,,yes
2336520,"Saketh Pranamam, Kompally, Hyderabad",Saketh Pranamam,"3rd party, Property Science",,17.597833,78.467492,,8571,,Gated community / Apartment,501401,"Kompally, Hyderabad",812.5,,,yes
2336521,"Saketh Pranamam, Kompally, Hyderabad",Saketh Pranamam,"3rd party, Property Science",,17.597833,78.467492,,8571,,Gated community / Apartment,501401,"Kompally, Hyderabad",780,,,yes
2227976,"Uvera Heights, L.B. Nagar, Hyderabad",Uvera Heights,"3rd party, Property Science",,17.34537506,78.55673981,,9571,,Gated community / Apartment,500070,"L.B. Nagar, Hyderabad",1295.45,,,yes
2227980,"Uvera Heights, L.B. Nagar, Hyderabad",Uvera Heights,"3rd party, Property Science",,17.34537506,78.55673981,,9571,,Gated community / Apartment,500070,"L.B. Nagar, Hyderabad",1311.7,,,yes
2336523,"Saketh Pranamam, Kompally, Hyderabad",Saketh Pranamam,"3rd party, Property Science",,17.597833,78.467492,,8571,,Gated community / Apartment,501401,"Kompally, Hyderabad",747.5,,,yes
2336527,"Saketh Pranamam, Kompally, Hyderabad",Saketh Pranamam,"3rd party, Property Science",,17.597833,78.467492,,8571,,Gated community / Apartment,501401,"Kompally, Hyderabad",747.5,,,yes
2228160,"Green Leaves Aura, Saroor Nagar, Hyderabad",Green Leaves Aura,"3rd party, Property Science",,17.34506035,78.55719757,,11077,,Gated community / Apartment,500074,"Saroor Nagar, Hyderabad",1953.25,,,no
2228160,"Green Leaves Aura, Saroor Nagar, Hyderabad",Green Leaves Aura,"3rd party, Property Science",,17.34506035,78.55719757,,11077,,Gated community / Apartment,500074,"Saroor Nagar, Hyderabad",1651,,,no
2336530,"Saketh Pranamam, Kompally, Hyderabad",Saketh Pranamam,"3rd party, Property Science",,17.597833,78.467492,,8571,,Gated community / Apartment,501401,"Kompally, Hyderabad",780,,,yes
2442467,"Saman Puram, samathanapuram, Demo City",Saman Puram,"3rd party, Property Science",,0,0,,10145,,Unknown,,"samathanapuram, Demo City",1235,,,no
2228162,", Reddy Colony",,"3rd party, Property Science",,17.33892165,78.54711692,,6592,,Unknown,,Reddy Colony,1537.25,,,no
2228162,", Reddy Colony",,"3rd party, Property Science",,17.33892165,78.54711692,,6592,,Unknown,,Reddy Colony,1623.7,,,no
2228163,"Alekhya Towers, LB Nagar",Alekhya Towers,"3rd party, Property Science",,17.33950133,78.54253113,,5245,,Gated community / Apartment,500079,LB Nagar,993,,,no
2228163,"Alekhya Towers, LB Nagar",Alekhya Towers,"3rd party, Property Science",,17.33950133,78.54253113,,5245,,Gated community / Apartment,500079,LB Nagar,870,,,no
2228164,"Alekhya Towers, LB Nagar",Alekhya Towers,"3rd party, Property Science",,17.33950133,78.54253113,,7631,,Gated community / Apartment,500079,LB Nagar,787,,,no
2228164,"Alekhya Towers, LB Nagar",Alekhya Towers,"3rd party, Property Science",,17.33950133,78.54253113,,7631,,Gated community / Apartment,500079,LB Nagar,1440,,,no
2228165,"ARC Sai Brindavanam Apartments, Chintalkunta, Road No 11, Shakthi Nagar",ARC Sai Brindavanam Apartments,"3rd party, Property Science",,17.336338,78.55353,,5769,,Stand Alone / Apartment,500074,"Chintalkunta, Road No 11, Shakthi Nagar",1342.25,,,no
2228165,"ARC Sai Brindavanam Apartments, Chintalkunta, Road No 11, Shakthi Nagar",ARC Sai Brindavanam Apartments,"3rd party, Property Science",,17.336338,78.55353,,5769,,Stand Alone / Apartment,500074,"Chintalkunta, Road No 11, Shakthi Nagar",1335.75,,,no
2228166,"balaji residency 2, Mansoorabad",balaji residency 2,"3rd party, Property Science",,17.356162,78.557926,,9523,,Stand Alone / Apartment,500068,Mansoorabad,1742,,,no
2228166,"balaji residency 2, Mansoorabad",balaji residency 2,"3rd party, Property Science",,17.356162,78.557926,,9523,,Stand Alone / Apartment,500068,Mansoorabad,1610,,,no
2228167,"bhagya nagar CHS, Bhagya Nagar Colony",bhagya nagar CHS,"3rd party, Property Science",,17.34727656,78.53944133,,7495,,Unknown,500072,,1197,,,no
2228167,"bhagya nagar CHS, Bhagya Nagar Colony",bhagya nagar CHS,"3rd party, Property Science",,17.34727656,78.53944133,,7495,,Unknown,500072,Bhagya Nagar Colony,950,,,no
2228168,"Chintalkunta, Chintalkunta",Chintalkunta,"3rd party, Property Science",,17.33786827,78.55876963,,9231,,Unknown,500070,Chintalkunta,1260,,,no
2228168,"Chintalkunta, Chintalkunta",Chintalkunta,"3rd party, Property Science",,17.33786827,78.55876963,,9231,,Unknown,500070,Chintalkunta,2054,,,no
2228169,"Classic, Chintalkunta",Classic,"3rd party, Property Science",,17.33786827,78.55876963,,7957,,Unknown,500070,Chintalkunta,762,,,no
2228169,"Classic, Chintalkunta",Classic,"3rd party, Property Science",,17.33786827,78.55876963,,7957,,Unknown,500070,,845,,,no
2228170,"janapriya homes, Chintalkunta",janapriya homes,"3rd party, Property Science",,17.337943,78.562978,,6574,,Gated community,500070,Chintalkunta,1264.25,,,no
2228170,"janapriya homes, Chintalkunta",janapriya homes,"3rd party, Property Science",,17.337943,78.562978,,6574,,Gated community,500070,Chintalkunta,1426.75,,,no
2228171,"JK Imperial Residency, Mansoorabad",JK Imperial Residency,"3rd party, Property Science",,17.35014332,78.56457231,,7692,,Stand Alone / Apartment,500070,Mansoorabad,1890,,,no
2228171,"JK Imperial Residency, Mansoorabad",JK Imperial Residency,"3rd party, Property Science",,17.35014332,78.56457231,,7692,,Stand Alone / Apartment,500070,Mansoorabad,1537.25,,,no
2228172,"Kukatpally, Bhagya Nagar Colony",Kukatpally,"3rd party, Property Science",,17.34727656,78.53944133,,6535,,Unknown,,Bhagya Nagar Colony,1098.5,,,no
2228172,"Kukatpally, Bhagya Nagar Colony",Kukatpally,"3rd party, Property Science",,17.34941,78.54956,,10000,,Unknown,,Bhagya Nagar Colony,585,,,no
2228173,"Lakeview Apartment, Bhagya Nagar Colony",Lakeview Apartment,"3rd party, Property Science",,17.488003,78.419862,,6932,,Stand Alone / Apartment,500072,Bhagya Nagar Colony,876,,,no
2228173,"Lakeview Apartment, Bhagya Nagar Colony",Lakeview Apartment,"3rd party, Property Science",,17.488003,78.419862,,6932,,Stand Alone / Apartment,500072,Bhagya Nagar Colony,1446,,,no
2228174,"Laukik Ishan, Chintalkunta",Laukik Ishan,"3rd party, Property Science",,17.33786827,78.55876963,,7957,,Unknown,500070,Chintalkunta,965,,,no
2228174,"Laukik Ishan, Chintalkunta",Laukik Ishan,"3rd party, Property Science",,17.33786827,78.55876963,,7957,,Unknown,500070,Chintalkunta,839.8,,,no
2248151,"Mahalaxmi Apartment, Chintalkunta",Mahalaxmi Apartment,"3rd party, Property Science",,17.33786827,78.55876963,,10405,,Unknown,500070,Chintalkunta,1200,,,no
2248151,"Mahalaxmi Apartment, Chintalkunta",Mahalaxmi Apartment,"3rd party, Property Science",,17.33786827,78.55876963,,10405,,Unknown,500070,Chintalkunta,1530,,,no
2315089,"Mahalaxmi Apartment, Chintalkunta",Mahalaxmi Apartment,"3rd party, Property Science",,17.33786827,78.55876963,,10405,,Unknown,500070,Chintalkunta,1265,,,no
2326064,"Mahasai Residency, Kailash Hills",Mahasai Residency,"3rd party, Property Science",,17.517407,78.415048,,5500,,Stand Alone / Apartment,500055,Kailash Hills,1200,,,no
2235817,"Namrata Residency, Amrutha Colony",Namrata Residency,"3rd party, Property Science",,17.41460386,78.57297374,,3448,,Stand Alone / Apartment,500092,,,,,no
2235818,"Namrata Residency, Amrutha Colony",Namrata Residency,"3rd party, Property Science",,17.41460386,78.57297374,,3448,,Stand Alone / Apartment,500092,,,,,no
2228178,"On Request, Mansoorabad",On Request,"3rd party, Property Science",,17.35014332,78.56457231,,5714,,Unknown,,Mansoorabad,1069,,,no
2228178,"On Request, Mansoorabad",On Request,"3rd party, Property Science",,17.35014332,78.56457231,,5714,,Unknown,,Mansoorabad,1488.5,,,no
2228179,"On Request, Mansoorabad",On Request,"3rd party, Property Science",,17.35014332,78.56457231,,9971,,Unknown,,Mansoorabad,1625,,,no
2228179,"On Request, Mansoorabad",On Request,"3rd party, Property Science",,17.35014332,78.56457231,,9971,,Unknown,,Mansoorabad,1020.5,,,no
2221687,"Rajeshwara, Ameerpet",Rajeshwara,"3rd party, Property Science",,17.43778615,78.44759371,,9255,,Unknown,500082,Ameerpet,1537.25,,,no
2382538,"Rajeshwara, Ameerpet",Rajeshwara,"3rd party, Property Science",,17.43778615,78.44759371,,9255,,Unknown,500082,Ameerpet,1537.25,,,no
2442468,"Saman Puram, samathanapuram, Demo City",Saman Puram,"3rd party, Property Science",,0,0,,8667,,Unknown,,"samathanapuram, Demo City",1131,,,no
2313367,"Sampada Residency, Alkapuri township, Nekhnampur",Sampada Residency,"3rd party, Property Science",,17.3956,78.4,,5015,,Stand Alone / Apartment,500089,"Alkapuri township, Nekhnampur",682.5,,,no
2375053,"Sanali Pinnacle, Shaikpet, Hyderabad",Sanali Pinnacle,"3rd party, Property Science",,17.4021,78.4068,,13571,,Stand Alone / Apartment,500008,"Shaikpet, Hyderabad",1371.5,,,no
2285756,"SANALI THE EDGE, Kokapet",SANALI THE EDGE,"3rd party, Property Science",,17.40246845,78.45625103,,4200,,Stand Alone / Apartment,500457,Kokapet,1235,,,no
2285957,"SANALI THE EDGE, Kokapet",SANALI THE EDGE,"3rd party, Property Science",,17.3918151,78.37701234,,4121,,Stand Alone / Apartment,500089,Kokapet,1170,,,no
2285957,"SANALI THE EDGE, Kokapet",SANALI THE EDGE,"3rd party, Property Science",,17.40246845,78.45625103,,4200,,Stand Alone / Apartment,500457,Kokapet,833.95,,,no
2210521,"Sarada Apartments, Ameerpet",Sarada Apartments,"3rd party, Property Science",,17.43778615,78.44759371,,7911,,Unknown,500082,Ameerpet,1147.25,,,no
2221694,"Sarada Apartments, Ameerpet",Sarada Apartments,"3rd party, Property Science",,17.43778615,78.44759371,,7911,,Unknown,500082,Ameerpet,1147.25,,,no
2382545,"Sarada Apartments, Ameerpet",Sarada Apartments,"3rd party, Property Science",,17.43778615,78.44759371,,7911,,Unknown,500082,Ameerpet,1122,,,no
2453477,"Sark Heights One, Masjid Banda",Sark Heights One,"3rd party, Property Science",,17.46516652,78.34614663,,11588,,Stand Alone / Apartment,500084,Masjid Banda,1244.75,,,no
2362197,"Sathavahana Residency, Nagole",Sathavahana Residency,"3rd party, Property Science",,17.37351799,78.56692153,,9649,,Stand Alone / Apartment,500068,Nagole,1132.3,,,no
2313368,"Senor Heights, puppalguda, Manikonda",Senor Heights,"3rd party, Property Science",,17.385,78.4,,8000,,Stand Alone / Apartment,500089,"puppalguda, Manikonda",715,,,no
2612020,"Seyes O2 Square Residences, Nanakramguda",Seyes O2 Square Residences,"3rd party, Property Science",,17.41117989,78.35156302,,11608,,Gated community / Apartment,500032,Nanakramguda,1264.25,,,no
2612021,"Seyes O2 Square Residences, Nanakramguda",Seyes O2 Square Residences,"3rd party, Property Science",,17.41117989,78.35156302,,11608,,Gated community / Apartment,500032,Nanakramguda,1257.75,,,no
2362198,"SH Arcade, Ganesh Nagar, Nagole, Hyderabad",SH Arcade,"3rd party, Property Science",,17.37351799,78.56692153,,4561,,Stand Alone / Apartment,500068,"Ganesh Nagar, Nagole, Hyderabad",875,,,no
2223353,"Shakthi Nilayam, Karmanghat, Hyderabad",Shakthi Nilayam,"3rd party, Property Science",,17.33784294,78.55410767,,10000,,Stand Alone / Apartment,500074,"Karmanghat, Hyderabad",845,,,yes
2223355,"Shakthi Nilayam, Karmanghat, Hyderabad",Shakthi Nilayam,"3rd party, Property Science",,17.33784294,78.55410767,,10000,,Stand Alone / Apartment,500074,"Karmanghat, Hyderabad",850,,,yes
2223379,"Shakthi Nilayam, Karmanghat, Hyderabad",Shakthi Nilayam,"3rd party, Property Science",,17.4963331,78.40312737,,9374,,Stand Alone / Apartment,500072,"Karmanghat, Hyderabad",2145,,,yes
2227980,"Uvera Heights, L.B. Nagar, Hyderabad",Uvera Heights,"3rd party, Property Science",,17.34537506,78.55673981,,9571,,Gated community / Apartment,500070,"L.B. Nagar, Hyderabad",1295.45,,,yes
2228142,"Uvera Heights, L.B. Nagar, Hyderabad",Uvera Heights,"3rd party, Property Science",,17.34537506,78.55673981,,9571,,Gated community / Apartment,500070,"L.B. Nagar, Hyderabad",1298.7,,,yes
2228142,"Uvera Heights, L.B. Nagar, Hyderabad",Uvera Heights,"3rd party, Property Science",,17.34537506,78.55673981,,9571,,Gated community / Apartment,500070,"L.B. Nagar, Hyderabad",1295.45,,,yes
2228146,"Uvera Heights, L.B. Nagar, Hyderabad",Uvera Heights,"3rd party, Property Science",,17.34537506,78.55673981,,9571,,Gated community / Apartment,500070,"L.B. Nagar, Hyderabad",1295.45,,,yes
2228146,"Uvera Heights, L.B. Nagar, Hyderabad",Uvera Heights,"3rd party, Property Science",,17.34537506,78.55673981,,9571,,Gated community / Apartment,500070,"L.B. Nagar, Hyderabad",1295.45,,,yes
2247984,"Uvera Heights, L.B. Nagar, Hyderabad",Uvera Heights,"3rd party, Property Science",,17.34537506,78.55673981,,9571,,Gated community / Apartment,500070,"L.B. Nagar, Hyderabad",1295.45,,,yes
2247984,"Uvera Heights, L.B. Nagar, Hyderabad",Uvera Heights,"3rd party, Property Science",,17.34537506,78.55673981,,9571,,Gated community / Apartment,500070,"L.B. Nagar, Hyderabad",1283,,,yes
2247988,"Uvera Heights, L.B. Nagar, Hyderabad",Uvera Heights,"3rd party, Property Science",,17.34537506,78.55673981,,9571,,Gated community / Apartment,500070,"L.B. Nagar, Hyderabad",1295.45,,,yes
2247988,"Uvera Heights, L.B. Nagar, Hyderabad",Uvera Heights,"3rd party, Property Science",,17.34537506,78.55673981,,9571,,Gated community / Apartment,500070,"L.B. Nagar, Hyderabad",1283,,,yes
2315074,"Uvera Heights, L.B. Nagar, Hyderabad",Uvera Heights,"3rd party, Property Science",,17.34537506,78.55673981,,9571,,Gated community / Apartment,500070,"L.B. Nagar, Hyderabad",1295.45,,,yes
2235804,"Orange Artha, Uppal, Hyderabad",Orange Artha,"3rd party, Property Science",,17.38926408,78.56415508,,7857,,Stand Alone / Apartment,500039,"Uppal, Hyderabad",1138,,,no
2235804,"Orange Artha, Uppal, Hyderabad",Orange Artha,"3rd party, Property Science",,17.38926408,78.56415508,,7857,,Stand Alone / Apartment,500039,"Uppal, Hyderabad",1486,,,no
2315075,"Uvera Heights, L.B. Nagar, Hyderabad",Uvera Heights,"3rd party, Property Science",,17.34537506,78.55673981,,9571,,Gated community / Apartment,500070,"L.B. Nagar, Hyderabad",1295.45,,,yes
2453483,"V S Residency, JV Hills",V S Residency,"3rd party, Property Science",,17.47169431,78.35081969,,7692,,Stand Alone,500089,JV Hills,1287,,,no
2235806,"Orange Artha, Uppal, Hyderabad",Orange Artha,"3rd party, Property Science",,17.38926408,78.56415508,,7857,,Stand Alone / Apartment,500039,"Uppal, Hyderabad",1188,,,no
2235806,"Orange Artha, Uppal, Hyderabad",Orange Artha,"3rd party, Property Science",,17.38926408,78.56415508,,7857,,Stand Alone / Apartment,500039,,1495,,,no
2235807,"Jubilee Gokulam, Uppal, Hyderabad",Jubilee Gokulam,"3rd party, Property Science",,17.40928891,78.55726254,,9286,,Stand Alone / Apartment,500039,"Uppal, Hyderabad",911.95,,,no
2235807,"Jubilee Gokulam, Uppal, Hyderabad",Jubilee Gokulam,"3rd party, Property Science",,17.40928891,78.55726254,,9286,,Stand Alone / Apartment,500039,"Uppal, Hyderabad",802.75,,,no
2406033,"Vada associations, Vanasthalipuram",Vada associations,"3rd party, Property Science",,17.32616319,78.57471963,,5294,,Unknown,500070,Vanasthalipuram,906,,,no
2223352,"Vaishnavi Bupara, Saroor Nagar, Hyderabad",Vaishnavi Bupara,"3rd party, Property Science",,17.341579,78.55335979,,12143,,Gated community / Apartment,500074,"Saroor Nagar, Hyderabad",780,,,yes
2235809,"Balaji Enclave, Chilkanagar",Balaji Enclave,"3rd party, Property Science",,17.41733661,78.56151314,,7851,,Stand Alone / Apartment,500039,Chilkanagar,1432,,,no
2235809,"Balaji Enclave, Chilkanagar",Balaji Enclave,"3rd party, Property Science",,17.41733661,78.56151314,,7851,,Stand Alone / Apartment,500039,Chilkanagar,1315,,,no
2235810,"Balaji Enclave, Chilkanagar",Balaji Enclave,"3rd party, Property Science",,17.41733661,78.56151314,,7851,,Stand Alone / Apartment,500039,Chilkanagar,1388,,,no
2235810,"Balaji Enclave, Chilkanagar",Balaji Enclave,"3rd party, Property Science",,17.41733661,78.56151314,,7851,,Stand Alone / Apartment,500039,Chilkanagar,1267,,,no
2235811,"Gokul Nandanavanam, Near Pragathinagar",Gokul Nandanavanam,"3rd party, Property Science",,17.5493688,78.39629072,,8242,,Gated community / Apartment,500043,Near Pragathinagar,819,,,no
2235811,"Gokul Nandanavanam, Near Pragathinagar",Gokul Nandanavanam,"3rd party, Property Science",,17.5493688,78.39629072,,8242,,Gated community / Apartment,500043,Near Pragathinagar,666.25,,,no
2235812,"hillton, madinagar",hillton,"3rd party, Property Science",,17.40401585,78.5708224,,6154,,Stand Alone / Apartment,500039,madinagar,1335.75,,,no
2235812,"hillton, madinagar",hillton,"3rd party, Property Science",,17.40401585,78.5708224,,6154,,Stand Alone / Apartment,500039,madinagar,1314,,,no
2235813,"Jaya Residency, Hema Nagar",Jaya Residency,"3rd party, Property Science",,17.418097,78.569182,,7252,,Stand Alone / Apartment,500092,Hema Nagar,962,,,no
2235813,"Jaya Residency, Hema Nagar",Jaya Residency,"3rd party, Property Science",,17.418097,78.569182,,7252,,Stand Alone / Apartment,500092,Hema Nagar,922.03,,,no
2235814,"Jaya Residency, Hema Nagar",Jaya Residency,"3rd party, Property Science",,17.418097,78.569182,,7252,,Stand Alone / Apartment,500092,Hema Nagar,955.5,,,no
2235814,"Jaya Residency, Hema Nagar",Jaya Residency,"3rd party, Property Science",,17.418097,78.569182,,7252,,Stand Alone / Apartment,500092,Hema Nagar,889.2,,,no
2235815,"Krithika Infra Developer\'s, Chilkanagar",Krithika Infra Developer\'s,"3rd party, Property Science",,17.41733661,78.56151314,,4928,,Unknown,500076,Chilkanagar,876,,,no
2235815,"Krithika Infra Developer\'s, Chilkanagar",Krithika Infra Developer\'s,"3rd party, Property Science",,17.41733661,78.56151314,,4928,,Unknown,500076,Chilkanagar,911,,,no
2235816,"Krithika Infra Developer\'s, Chilkanagar",Krithika Infra Developer\'s,"3rd party, Property Science",,17.41733661,78.56151314,,4928,,Unknown,500076,Chilkanagar,906,,,no
2235816,"Krithika Infra Developer\'s, Chilkanagar",Krithika Infra Developer\'s,"3rd party, Property Science",,17.41733661,78.56151314,,4928,,Unknown,500076,Chilkanagar,917,,,no
2235818,"Namrata Residency, Amrutha Colony",Namrata Residency,"3rd party, Property Science",,17.41460386,78.57297374,,3448,,Stand Alone / Apartment,500092,,,,,no
